тип источника,мин. время,макс. время,среднее время,мин. потребление памяти,макс. потребление памяти,сред. потребление памяти
from_pandas_known_normal,0.6988153999845963,0.6988153999845963,0.6988153999845963,137.26171875,137.26171875,137.26171875
from_pandas_known_normal_with_cb,0.5187109999824315,0.5187109999824315,0.5187109999824315,138.61328125,138.61328125,138.61328125
delayed_known_normal,0.6643932000151835,0.6643932000151835,0.6643932000151835,139.22265625,139.22265625,139.22265625
delayed_known_normal_with_cb,0.5909893999923952,0.5909893999923952,0.5909893999923952,139.3515625,139.3515625,139.3515625
delayed_unknown_normal,0.8958480999863241,0.8958480999863241,0.8958480999863241,139.87109375,139.87109375,139.87109375
delayed_unknown_normal_with_cb,0.5793630999978632,0.5793630999978632,0.5793630999978632,139.953125,139.953125,139.953125
from_pandas_known_large_partitions,0.34289860000717454,0.34289860000717454,0.34289860000717454,140.609375,140.609375,140.609375
from_pandas_known_large_partitions_with_cb,0.31508810000377707,0.31508810000377707,0.31508810000377707,141.015625,141.015625,141.015625
from_pandas_known_small_partitions,1.2857800999772735,1.2857800999772735,1.2857800999772735,142.57421875,142.57421875,142.57421875
from_pandas_known_small_partitions_with_cb,0.9716094000032172,0.9716094000032172,0.9716094000032172,142.69921875,142.69921875,142.69921875
